Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
12,Sat Nov 11 2023,17:00,CET / UTC+0100,Stade de Reims,0-3,0-1,Paris Saint-Germain FC,2023-11-11T16:00:00Z
12,Sat Nov 11 2023,21:00,CET / UTC+0100,Le Havre AC,0-0,0-0,AS Monaco FC,2023-11-11T20:00:00Z
12,Sun Nov 12 2023,15:00,CET / UTC+0100,Clermont Foot 63,1-0,0-0,FC Lorient,2023-11-12T14:00:00Z
12,Sun Nov 12 2023,15:00,CET / UTC+0100,FC Metz,3-1,2-1,FC Nantes,2023-11-12T14:00:00Z
12,Sun Nov 12 2023,15:00,CET / UTC+0100,Lille OSC,1-1,1-0,Toulouse FC,2023-11-12T14:00:00Z
12,Sun Nov 12 2023,17:05,CET / UTC+0100,Stade Rennais FC 1901,0-1,0-0,Olympique Lyonnais,2023-11-12T16:05:00Z
12,Sun Nov 12 2023,20:45,CET / UTC+0100,Racing Club de Lens,1-0,0-0,Olympique de Marseille,2023-11-12T19:45:00Z
13,Fri Nov 24 2023,21:00,CET / UTC+0100,Paris Saint-Germain FC,5-2,2-1,AS Monaco FC,2023-11-24T20:00:00Z
13,Sat Nov 25 2023,17:00,CET / UTC+0100,Clermont Foot 63,0-3,0-1,Racing Club de Lens,2023-11-25T16:00:00Z
13,Sat Nov 25 2023,21:00,CET / UTC+0100,RC Strasbourg Alsace,1-1,1-1,Olympique de Marseille,2023-11-25T20:00:00Z
13,Sun Nov 26 2023,13:00,CET / UTC+0100,OGC Nice,1-0,0-0,Toulouse FC,2023-11-26T12:00:00Z
13,Sun Nov 26 2023,15:00,CET / UTC+0100,FC Lorient,2-3,2-1,FC Metz,2023-11-26T14:00:00Z
13,Sun Nov 26 2023,15:00,CET / UTC+0100,FC Nantes,0-0,0-0,Le Havre AC,2023-11-26T14:00:00Z
13,Sun Nov 26 2023,15:00,CET / UTC+0100,Montpellier HSC,1-3,0-1,Stade Brestois 29,2023-11-26T14:00:00Z
13,Sun Nov 26 2023,17:05,CET / UTC+0100,Stade Rennais FC 1901,3-1,1-1,Stade de Reims,2023-11-26T16:05:00Z
13,Sun Nov 26 2023,20:45,CET / UTC+0100,Olympique Lyonnais,0-2,0-2,Lille OSC,2023-11-26T19:45:00Z
8,Wed Nov 29 2023,19:00,CET / UTC+0100,Montpellier HSC,1-1,0-1,Clermont Foot 63,2023-11-29T18:00:00Z
14,Fri Dec 1 2023,21:00,CET / UTC+0100,Stade de Reims,2-1,2-0,RC Strasbourg Alsace,2023-12-01T20:00:00Z
14,Sat Dec 2 2023,17:00,CET / UTC+0100,Racing Club de Lens,3-2,1-1,Olympique Lyonnais,2023-12-02T16:00:00Z
14,Sat Dec 2 2023,21:00,CET / UTC+0100,FC Nantes,1-0,1-0,OGC Nice,2023-12-02T20:00:00Z
14,Sun Dec 3 2023,13:00,CET / UTC+0100,Le Havre AC,0-2,0-1,Paris Saint-Germain FC,2023-12-03T12:00:00Z
14,Sun Dec 3 2023,15:00,CET / UTC+0100,AS Monaco FC,2-0,1-0,Montpellier HSC,2023-12-03T14:00:00Z
14,Sun Dec 3 2023,15:00,CET / UTC+0100,Toulouse FC,1-1,0-0,FC Lorient,2023-12-03T14:00:00Z
14,Sun Dec 3 2023,15:00,CET / UTC+0100,Stade Brestois 29,3-0,2-0,Clermont Foot 63,2023-12-03T14:00:00Z
