Matchday,Date,Team 1,FT,HT,Team 2,Comments
37,Mon May 17 2021,AS Roma,,,SS Lazio,
37,Mon May 17 2021,AC Milan,,,Cagliari Calcio,
37,Mon May 17 2021,Parma Calcio 1913,,,US Sassuolo Calcio,
37,Mon May 17 2021,Udinese Calcio,,,UC Sampdoria,
37,Mon May 17 2021,Genoa CFC,,,Atalanta BC,
37,Mon May 17 2021,Spezia Calcio,,,Torino FC,
37,Mon May 17 2021,Hellas Verona FC,,,Bologna FC 1909,
37,Mon May 17 2021,Benevento Calcio,,,FC Crotone,
37,Sun May 16 2021,Juventus FC,,,FC Internazionale Milano,
38,Mon May 24 2021,SSC Napoli,,,Hellas Verona FC,
38,Mon May 24 2021,FC Internazionale Milano,,,Udinese Calcio,
38,Mon May 24 2021,Atalanta BC,,,AC Milan,
38,Mon May 24 2021,UC Sampdoria,,,Parma Calcio 1913,
38,Mon May 24 2021,Cagliari Calcio,,,Genoa CFC,
38,Mon May 24 2021,Torino FC,,,Benevento Calcio,
38,Mon May 24 2021,Bologna FC 1909,,,Juventus FC,
38,Mon May 24 2021,Spezia Calcio,,,AS Roma,
38,Mon May 24 2021,US Sassuolo Calcio,,,SS Lazio,
38,Mon May 24 2021,FC Crotone,,,ACF Fiorentina,
